iter	Passed	Remaining
536	13416	11567
537	13448	11548
538	13465	11517
539	13484	11486
540	13499	11452
541	13514	11420
542	13531	11388
543	13555	11362
544	13575	11333
545	13592	11302
546	13611	11272
547	13627	11240
548	13650	11213
549	13680	11193
550	13699	11163
551	13717	11132
552	13734	11101
553	13752	11071
554	13772	11042
555	13789	11011
556	13806	10980
557	13826	10952
558	13842	10920
559	13863	10892
560	13880	10861
561	13901	10834
562	13932	10814
563	13953	10786
564	13980	10764
565	14012	10744
566	14035	10718
567	14058	10692
568	14083	10667
569	14111	10645
570	14134	10619
571	14169	10602
572	14189	10574
573	14214	10549
574	14247	10530
575	14269	10504
576	14291	10477
577	14313	10449
578	14342	10428
579	14363	10401
580	14386	10375
581	14405	10346
582	14424	10317
583	14462	10301
584	14486	10277
585	14510	10251
586	14542	10231
587	14564	10205
588	14588	10179
589	14605	10149
590	14627	10122
591	14651	10097
592	14674	10071
593	14701	10048
594	14728	10025
595	14776	10016
596	14814	10000
597	14838	9974
598	14869	9954
599	14903	9935
600	14934	9914
601	14961	9891
602	14987	9867
603	15012	9842
604	15029	9812
605	15060	9791
606	15086	9767
607	15124	9751
608	15155	9730
609	15175	9702
610	15195	9674
611	15216	9647
612	15236	9618
613	15253	9589
614	15271	9560
615	15291	9532
616	15306	9501
617	15325	9473
618	15346	9446
619	15370	9420
620	15388	9391
621	15407	9363
622	15424	9334
623	15440	9303
624	15462	9277
625	15481	9249
626	15499	9220
627	15515	9190
628	15535	9163
629	15557	9137
630	15610	9128
631	15644	9109
632	15665	9082
633	15698	9062
634	15716	9033
635	15734	9005
636	15754	8977
637	15777	8952
638	15798	8925
639	15815	8896
640	15832	8866
641	15850	8838
642	15867	8809
643	15883	8780
644	15902	8752
645	15918	8723
646	15936	8694
647	15956	8667
648	15975	8640
649	15995	8612
650	16012	8584
651	16030	8555
652	16046	8527
653	16067	8500
654	16090	8475
655	16126	8456
656	16182	8448
657	16207	8424
658	16225	8395
659	16242	8367
660	16259	8339
661	16277	8310
662	16293	8281
663	16311	8253
664	16336	8229
665	16357	8203
666	16370	8172
667	16394	8148
668	16413	8120
669	16427	8091
670	16445	8063
671	16464	8036
672	16480	8007
673	16496	7978
674	16517	7953
675	16533	7924
676	16547	7894
677	16564	7867
678	16590	7843
679	16623	7822
680	16644	7796
681	16665	7770
682	16685	7744
683	16710	7719
684	16759	7706
685	16785	7683
686	16808	7657
687	16838	7635
688	16863	7611
689	16883	7585
690	16901	7558
691	16916	7529
692	16934	7501
693	16951	7474
694	16970	7447
695	16989	7420
696	17010	7394
697	17028	7367
698	17045	7339
699	17062	7312
700	17077	7284
701	17095	7256
702	17115	7230
703	17132	7203
704	17147	7175
705	17161	7146
706	17177	7118
707	17198	7093
708	17221	7068
709	17238	7041
710	17254	7013
711	17269	6985
712	17286	6958
713	17300	6930
714	17317	6902
715	17333	6875
716	17352	6849
717	17372	6823
718	17390	6796
